אייקון,יום,תאריך,שם המקום,קטגוריות לסינון,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש

🍄,10 (חמישי),22/10/2026,Nintendo Kyoto (Takashimaya T8),קניות | גיימינג ותרבות פופ,⭐⭐⭐⭐⭐ חובה,"8002 Otabicho, Shimogyo Ward, Kyoto",הכל (מקורה),"חנות הדגל הענקית והחדשה של נינטנדו (בקניון טקאשימאיה):

• המזוודה שלך כבר נשלחה להוסטל ממילא ביום 7, אז תמשיך להנות מהעיר עם תיק הגב איתך.
• חוויית גיימינג מטורפת, קונסולות ומרצ'נדייז רשמי.

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם עמוס/סגור — מעבר לחנות/קומביני סמוך או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות / אטרקציה","צמוד לשוק נישיקי, הליכה של 2 דקות לקניון Takashimaya,קומה 7.",קיוטו - מרכז,14:00 - 14:50,50 דקות וחצי,,"כניסה: 0₪ | קניות (אופציונלי): כ-185 ₪ (~10,000 ¥) אם קונה משהו",🚶‍♂️ אין צורך להזמין מראש: כניסה חופשית לחנות.,https://www.nintendo.com/jp/officialstore/,≈ 5 דקות הליכה משוק נישיקי,https://www.google.com/maps/dir/?api=1&origin=Nishiki+Market+Kyoto&destination=Nintendo+Kyoto+Store,,⚠️ שירותים,✓ כרטיס אשראי (למרצ'נדייז) | ✓ Power Bank וכבל

🌳,10 (חמישי),22/10/2026,Kyoto Botanical Gardens,טבע ופארקים | גן בוטני,⭐⭐⭐ אם יש זמן,"Shimogamo Hangi-cho, Sakyo-ku, Kyoto (צפון קיוטו, ליד Kitayama Station Exit 3)",☀️ שמש / ☁️ מעונן,"הגנים הבוטניים של קיוטו (חילוניים):

• סיור של אחר הצהריים בין חממות צמחיות ענקיות ושבילי שלכת שלווים.

⚠️ שים לב: הגנים נסגרים ב-17:00 (כניסה עד 16:00). יום מאוד צפוף - אם אתה חורג מהזמן בנינטנדו, דלג ישר למגדל קיוטו.

[רמת עומס: 🟢 קל]

💡 Plan B גשם: אם יורד גשם כבד — קיצור ההליכה ומעבר למתחם מקורה סמוך.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: פארק / טבע","עליה על קו תחתית Karasuma Line מהשוק צפונה לתחנת Kitayama.

[יציאה מומלצת: יציאה 3 - כניסה ישירה לגנים]",קיוטו - צפון,15:20 - 16:35,שעה ורבע,נסגר 17:00 (כניסה אחרונה 16:00),15 ₪ (~800 ¥),🚶‍♂️ קניית כרטיס כניסה זול בקופות הפיזיות במקום.,https://www.pref.kyoto.jp/plant/,≈ 30 דקות בתחתית,https://www.google.com/maps/dir/?api=1&origin=Nintendo+Kyoto+Store&destination=Kyoto+Botanical+Gardens,,⚠️ שירותים,✓ מים לסיור הרגלי | ✓ Power Bank וכבל

✨,10 (חמישי),22/10/2026,Kyoto Station Grand Stairway & Tower,אטרקציה עירונית | תצפית,⭐⭐⭐⭐ מומלץ,"Kyoto Station, Kyoto, Japan",🌃 לילה,"קומפלקס תחנת קיוטו:

• עלייה בגרם המדרגות העצום והמואר במופע LED (חינם), ועלייה לתצפית מגדל קיוטו.

[רמת עומס: 🟡 בינוני]

💡 Plan B גשם/ערפל: אם הגג/מרפסת סגורים — התצפית מתבצעת מהקומה המקורה בבטחה.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: תצפית / אטרקציה","קו תחתית Karasuma דרומה אל תחנת Kyoto Station.

[יציאה מומלצת: Central Exit]",קיוטו - מרכז,18:00 - 19:30,שעה וחצי,,"25 ₪ (למגדל) (~1,350 ¥)","🚨 מומלץ להזמין מראש: החל מ-08/10/2026 (שבועיים מראש) כדי לדלג על הקופה.
⏰ התראה: קבע/י תזכורת ליום פתיחת ההזמנות 08/10/2026 + תזכורת הכנה יום לפני (07/10/2026) — לוודא אמצעי תשלום, פרטים וזמינות.","רשמי: https://www.kyoto-tower.jp/en/
Klook: https://www.klook.com/search/result/?query=Kyoto%20Tower
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=Kyoto%20Tower&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/Kyoto%20Tower
GetYourGuide: https://www.getyourguide.com/s?q=Kyoto+Tower
Pelago: https://www.pelago.co/en-US/search/?keyword=Kyoto%20Tower",≈ 25 דקות בתחתית,https://www.google.com/maps/dir/?api=1&origin=Kyoto+Botanical+Gardens&destination=Kyoto+Station,,⚠️ שירותים,✓ Power Bank וכבל

🍽️,10 (חמישי),22/10/2026,הזמנת בנטו כשר (חב'ד קיוטו),לוגיסטיקה | מזון כשר,⭐⭐⭐⭐⭐ חובה,"427 Rinkacho, Higashiyama Ward, Kyoto 605-0062",הכל (מקורה),"מארז אוכל וארוחת ערב כשרה (Bento) מבית חב'ד קיוטו.

מאחר ואתה מגיע מאוחר אחרי יום עמוס, האוכל יהיה מוכן עבורך בהוסטל או לאיסוף מהיר מבית חב'ד.

💡 חלופה: בישול עצמאי ממוצרי סופר במטבח המשותף של ההוסטל.

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם הדלפק סגור/עמוס — ביצוע הפעולה בקומביני או דלפק חלופי סמוך.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לוגיסטיקה / אוכל",תיאום מול חב'ד לאיסוף/משלוח,קיוטו - גיון,20:00 - 20:15,15 דקות,,"כ-130 ₪ (~7000 ¥)","🚨 חובה להזמין מראש: שבוע מראש מול בית חב'ד קיוטו (באתר או בוואטסאפ). ציין תאריך מדויק (22/10).
⏰ התראה: קבע/י תזכורת ליום פתיחת ההזמנות 22/10/2026 + תזכורת הכנה יום לפני (21/10/2026) — לוודא אמצעי תשלום, פרטים וזמינות.",https://chabad.jp,אין צורך בנסיעה (איסוף/משלוח),אין צורך בניווט,,⚠️ מקרר,✓ תיאום שבוע מראש | ✓ Power Bank וכבל

🏠,10 (חמישי),22/10/2026,🏠 Hostel Gion SORA (Kyoto),לינה | הוסטל,⭐⭐⭐⭐⭐ חובה,"427 Rinkacho, Higashiyama Ward, Kyoto 605-0062",הכל (מקורה),"הגעה בטוחה להוסטל בסיום היום:

• ביצוע צ'ק-אין מלא, קבלת מפתח לחדר, פריקת מזוודה (שחיכתה לך!) ומנוחה.

💡 ארוחת ערב תמתין לך בהתאם להזמנה מבית חב'ד, או בישול עצמאי במטבח המשותף.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — זו נקודת לינה/מנוחה קבועה שכבר הוזמנה.

🍽️ פתרון תזונה: ארוחת ערב/בוקר בהכנה עצמאית בדירה או שאריות מהיום.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לינה",אוטובוס עירוני (206 או 86) או מונית מתחנת קיוטו חזרה לגיון.,קיוטו - גיון,20:15 - 08:30,לינה,,"590.32 ₪ (~31,320 ¥)",✅ כבר הוזמן (צ'ק-אין מלא וקבלת חדר).,"רשמי: https://www.booking.com/
Klook: https://www.klook.com/search/result/?query=Hostel%20Gion%20SORA
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=Hostel%20Gion%20SORA&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/Hostel%20Gion%20SORA
GetYourGuide: https://www.getyourguide.com/s?q=Hostel+Gion+SORA
Pelago: https://www.pelago.co/en-US/search/?keyword=Hostel%20Gion%20SORA",≈ 25 דקות באוטובוס,https://www.google.com/maps/dir/?api=1&origin=Kyoto+Station&destination=427+Rinkacho+Kyoto,,⚠️ שירותים,✓ קבלת מפתח חדר | ✓ Power Bank וכבל




🌳,11 (שישי),23/10/2026,Kyoto Gyoen National Garden,טבע ופארקים | גנים היסטוריים,⭐⭐⭐ אם יש זמן,"3 Kyotogyoen, Kamigyo Ward, Kyoto",☀️ שמש / ☁️ מעונן,"גני הארמון הקיסרי בקיוטו (חילוניים):

• פארק ציבורי היסטורי עצום. מושלם להליכת בוקר בריאה באוויר הצח.

[רמת עומס יומית: 🟢 קל - התארגנות מוקדמת לשבת].

[בוקר רגוע: קום מוקדם, התפלל, ארוחה בהוסטל, צא ב-09:00 להתארגנות מוקדמת לשבת].

🍽️ פתרון תזונה יומי: בצהריים מצרכים קלים לשבת, בערב סעודת חב'ד.

🥤 שילוב חלבון: שייק חלבון בבוקר בדירה.

💡 Plan B גשם: אם יורד גשם כבד — קיצור ההליכה ומעבר למתחם מקורה סמוך.

🔍 לסינון: פארק / טבע / היסטוריה","נסיעה קצרה בתחתית מתחנת Sanjo (קרוב לגיון) לתחנת Marutamachi.

[יציאה מומלצת: יציאה 1]",קיוטו - מרכז,09:30 - 10:45,שעה ורבע,,חינם,🚶‍♂️ אין צורך להזמין מראש: גנים פתוחים לקהל הרחב.,https://fng.or.jp/kyoto/en/,≈ 25 דקות (תחתית + הליכה),https://www.google.com/maps/dir/?api=1&origin=427+Rinkacho+Kyoto&destination=Kyoto+Gyoen+National+Garden,,⚠️ שירותים,✓ נעלי הליכה | ✓ Power Bank וכבל

⚔️,11 (שישי),23/10/2026,Samurai & Ninja Museum Kyoto,מוזיאון | תרבות מורשת,⭐⭐⭐⭐⭐ חובה,"292 Higashimonzencho, Nakagyo Ward, Kyoto",הכל (מקורה),"מוזיאון הסמוראים והנינג'ות המקצועי:

• סיור אינטראקטיבי מודרך, תצוגת נשק, לבישת שריון ואימון בחרב קטאנה.

💡 Plan B גשם:
מקורה לחלוטין וממוזג, פתרון מושלם.

[רמת עומס: 🟡 בינוני]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מוזיאון / אטרקציה","הליכה קצרה דרומה או נסיעת תחתית חזרה למרכז העיר.

[יציאה מומלצת: תחנת Kyoto-Kawaramachi יציאה 9]",קיוטו - מרכז,11:15 - 12:45,שעה וחצי,,"80 ₪ (~4,300 ¥)","🚨 חובה להזמין מראש: כדאי להזמין החל מ-23/09/2026 (חודש מראש) כדי להבטיח את הסלוט לאימון חרב ולבישת שריון.
⏰ התראה: קבע/י תזכורת ליום פתיחת ההזמנות 23/09/2026 + תזכורת הכנה יום לפני (22/09/2026) — לוודא אמצעי תשלום, פרטים וזמינות.","רשמי: https://www.samuraininja-museum.com/
Klook: https://www.klook.com/search/result/?query=Samurai%20Ninja%20Museum%20Kyoto
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=Samurai%20Ninja%20Museum%20Kyoto&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/Samurai%20Ninja%20Museum%20Kyoto
GetYourGuide: https://www.getyourguide.com/s?q=Samurai+Ninja+Museum+Kyoto
Pelago: https://www.pelago.co/en-US/search/?keyword=Samurai%20Ninja%20Museum%20Kyoto",≈ 20 דקות רכבת,https://www.google.com/maps/dir/?api=1&origin=Kyoto+Gyoen+National+Garden&destination=Samurai+Ninja+Museum+Kyoto,,⚠️ שירותים,✓ בגדים נוחים ללבישת שריון ואימון חרב | ✓ Power Bank וכבל

🍽️,11 (שישי),23/10/2026,Fresco Gojo,קניות | סופרמרקט,⭐⭐⭐⭐⭐ חובה,"270 Azumacho, Shimogyo Ward, Kyoto",הכל (מקורה),"הצטיידות קלה לשבת (הוקדם לצהריים למניעת לחץ!):

• רכישת פירות, מים, וחטיפי אוכל למהלך יום השבת. (אין צורך באוכל מבושל כיוון שסעודות שבת משולמות בחב'ד).

💡 שימוש בשקיות זיפלוק/גופיה: ארוז את הפירות והמצרכים הטריים שקנית בשקיות זיפלוק אטומות כדי לשמור על טריותם בתוך התיק ולמנוע נזילות.

[רמת עומס: 🟢 קל]

💡 Plan B: אם סגור — קומביני חלופי סמוך (רובם פתוחים 24/7).

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות / סופרמרקט / אוכל","נסיעה בתחתית דרומה לתחנת Gojo או הליכה רגלית ישירה.

[יציאה מומלצת: תחנת Gojo יציאה 1]",קיוטו - מרכז,13:00 - 13:30,30 דקות,,"כניסה: 0₪ | קניות (אופציונלי): כ-55 ₪ (~3,000 ¥)",🚶‍♂️ תשלום במקום.,https://www.super-fresco.co.jp/,≈ 15 דקות בתחתית,https://www.google.com/maps/dir/?api=1&origin=Samurai+Ninja+Museum+Kyoto&destination=Fresco+Gojo+Kyoto,,⚠️ שירותים,✓ שקית רב פעמית לקניות | ✓ מזומן | ✓ Power Bank וכבל

🏠,11 (שישי),23/10/2026,🏠 Hostel Gion SORA (Kyoto),לינה | הוסטל,⭐⭐⭐⭐⭐ חובה,"427 Rinkacho, Higashiyama Ward, Kyoto",הכל (מקורה),"התארגנות ארוכה ורגועה לשבת בדירה:

• יש לך פה זמן עד כניסת שבת בהמשך היום.
• התרעננות, נטרול חיישני תאורה, ניתוק שירותים חכמים (Washlet), מקלחת חמה.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — זו נקודת לינה/מנוחה קבועה שכבר הוזמנה.

🍽️ פתרון תזונה: סעודות שבת יתקיימו בבית חב'ד כהלכתן, ללא צורך בבישול בדירה.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לינה",הליכה קצרה או נסיעה באוטובוס מקומי קצר מהסופרמרקט חזרה לדירה.,קיוטו - גיון,14:00 - 16:50,התארגנות,,0 ₪,✅ כבר הוזמן. כניסת שבת באזור 16:50.,https://www.booking.com/,≈ 20 דקות באוטובוס,https://www.google.com/maps/dir/?api=1&origin=Fresco+Gojo+Kyoto&destination=427+Rinkacho+Kyoto,,⚠️ שירותים,✓ מסקינטייפ (לחיישנים) | ✓ הכנות לשבת | ✓ מפתח דירה פיזי

🍽️,11 (שישי),23/10/2026,Chabad Kyoto,דת וקהילה | תפילה וארוחות,⭐⭐⭐⭐⭐ חובה,"30-3 Tennocho, Okazaki, Sakyo-ku, Kyoto",הכל,"תפילת ערבית, קבלת שבת וקידוש חם בבית חב'ד קיוטו:

• תפילת מנחה: 10 דקות לאחר הדלקת נרות.
• קבלת שבת וסעודה: 40 דקות לאחר הדלקת נרות.

[מיקום: מאחורי סופרמרקט פרסקו, מול Okazaki Junior High School. אוטובוסים: 203/204/93/5].

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — פעילות במסגרת קהילת חב""ד לפי לוח הזמנים הקבוע.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מסעדה / אוכל / דת","הליכה רגלית בלבד!

🚨 איסור נסיעה מוחלט ואיסור טלטול חפצים מחוץ לעירוב — השתמש בחגורת שבת למפתח המכני.",קיוטו - מזרח,17:00 - 19:30,זמני שבת,,120.63 ₪,✅ כבר הוזמן ושולם מראש ($39.44),https://chabad.jp/,≈ 25 דקות הליכה,https://maps.app.goo.gl/c59K6jN4cVgxiEiv6,,⚠️ שירותים,✓ חגורת שבת למפתח | ✓ ביגוד מכבד | ✓ מפתח דירה פיזי

🏠,11 (שישי),23/10/2026,🏠 Hostel Gion SORA (Kyoto),לינה | הוסטל,⭐⭐⭐⭐⭐ חובה,"427 Rinkacho, Higashiyama Ward, Kyoto",הכל (מקורה),"חזרה להוסטל לאחר הקידוש והתפילה.

• מנוחה ושינה רגועה בשבת. חזרה בטוחה בהליכה נעימה.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — זו נקודת לינה/מנוחה קבועה שכבר הוזמנה.

🍽️ פתרון תזונה: בטן מלאה מסעודת ליל שבת בבית חב'ד.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לינה",הליכה רגלית נינוחה ומסודרת מבית חב'ד קיוטו חזרה לגיון.,קיוטו - גיון,20:00 - 08:30,לינה,,0 ₪,✅ כבר הוזמן מראש בבסיס קבוע.,https://www.booking.com/,≈ 25 דקות הליכה חזרה,https://www.google.com/maps/dir/?api=1&origin=Chabad+Kyoto&destination=427+Rinkacho+Kyoto,,⚠️ שירותים,✓ שינה טובה | ✓ חגורת שבת למפתח




🍽️,12 (שבת),24/10/2026,Chabad Kyoto (Shabbat Meals),דת וקהילה | שבת,⭐⭐⭐⭐⭐ חובה,"30-3 Tennocho, Okazaki, Sakyo-ku, Kyoto",הכל,"יום מנוחה מוחלט (שבת קודש) בחב""ד קיוטו:

זמני התפילות והסעודות (לפי המייל הרשמי מחב""ד):
• 10:00 - תפילת שחרית.
• 12:00 - קידוש חם וצ'ולנט.

הטענת מצברים רצינית לשבוע האקסטרים באוסקה.

🍽️ פתרון תזונה יומי: כל סעודות השבת והאוכל בחב""ד.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — פעילות במסגרת קהילת חב""ד לפי לוח הזמנים הקבוע.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מסעדה / אוכל / דת",הליכה רגלית קצרה והולמת הלוך וחזור מהדירה.,קיוטו - מזרח,10:00 - 14:00,זמני סעודות,,0 ₪,✅ סעודה הכלולה בהזמנה מראש (120.63 ₪ שולמו).,https://chabad.jp/,≈ 25 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=427+Rinkacho+Kyoto&destination=Chabad+Kyoto,,⚠️ שירותים,✓ חגורת שבת מותאמת למפתח

🌊,12 (שבת),24/10/2026,Keage Water Intake (Lake Biwa Canal),פארק וטבע | טיילת היסטורית,⭐⭐⭐⭐ מומלץ,"Sakyo Ward, Kyoto",☀️ שמש / ☁️ מעונן,"תחנת הכוח של קיוטו ותעלת ביווה: 
• אזור פתוח, חינמי והיסטורי עם נוף יפה לתעלות המים ולמבני לבנים עתיקים. מסלול מושלם ומומלץ להליכת שבת באזור חב""ד קיוטו ללא חילול שבת וללא מקדשים.

[רמת עומס: 🟢 קל]

💡 Plan B גשם: אם יורד גשם כבד — קיצור ההליכה ומעבר למתחם מקורה סמוך.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: טבע / פארק","הליכה רגלית קצרה מאזור חב""ד, מתחבר בול להליכת השבת שלך דרומה.",קיוטו - מזרח,14:15 - 15:15,שעה,פתוח 24/7,חינם,**🚶‍♂️ מסלול פתוח לציבור (מצוין לשבת).**,https://www.japan-guide.com/e/e3950.html,≈ 10 דקות הליכה מחב'ד,https://www.google.com/maps/dir/?api=1&origin=Chabad+Kyoto&destination=Keage+Water+Intake,,,✓ הליכה רגועה לשבת | ✓ חגורת שבת למפתח

🌳,12 (שבת),24/10/2026,Kamo River Walk (Shijo Ohashi),טבע ופארקים | טיילת,⭐⭐⭐ אם יש זמן,"Shijo Ohashi, Shimogyo Ward, Kyoto",☀️ שמש / ☁️ מעונן,"הליכת שבת פסטורלית לאורך גדות נהר הקאמו:

• ירידה רגלית מאזור תעלת ביווה לכיוון גשר שיג'ו שחוצה את הנהר — ללא צורך בתחבורה ציבורית וללא חשש טלטול.

[רמת עומס: 🟢 קל]

💡 Plan B גשם: אם יורד גשם כבד — קיצור ההליכה ומעבר למתחם מקורה סמוך.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: פארק / טבע",הליכה רגלית מאזור תחנת הכוח Keage מטה אל הנהר.,קיוטו - מרכז / גיון,15:15 - 16:00,45 דקות,,חינם,🚶‍♂️ אין צורך להזמין מראש: שביל ציבורי פתוח.,https://www.japan-guide.com/e/e3946.html,≈ 20 דקות הליכה נינוחה,https://www.google.com/maps/dir/?api=1&origin=Keage+Water+Intake&destination=Shijo+Ohashi+Kyoto,,⚠️ שירותים,✓ מפתח הדירה בחגורת שבת

🌳,12 (שבת),24/10/2026,Maruyama Park,טבע ופארקים | פארק עירוני,⭐⭐⭐ אם יש זמן,"Maruyamacho, Higashiyama Ward, Kyoto",☀️ שמש / ☁️ מעונן,"הליכה שלווה בפארק הציבורי של קיוטו:

• סיור רגלי בין בריכות מים ועצים. פארק חילוני וחינמי הצמוד להוסטל.

[רמת עומס: 🟢 קל]

💡 Plan B גשם: אם יורד גשם כבד — קיצור ההליכה ומעבר למתחם מקורה סמוך.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: פארק / טבע",הליכה רגלית קצרה של כ-10 דקות מגשר שיג'ו.,קיוטו - גיון,16:00 - 16:45,45 דקות,,חינם,🚶‍♂️ אין צורך להזמין מראש.,https://kyoto-maruyama-park.jp/,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Shijo+Ohashi+Kyoto&destination=Maruyama+Park+Kyoto,,,✓ נעלי הליכה | ✓ חגורת שבת

✨,12 (שבת),24/10/2026,teamLab Biovortex Kyoto,אטרקציה | אמנות דיגיטלית,⭐⭐⭐⭐⭐ חובה,"Kyoto, Japan",הכל (מקורה),"תערוכת האמנות הדיגיטלית teamLab Biovortex:

• חובה לחזור לבית חב'ד קיוטו בצאת השבת (סביבות 17:50) לערוך הבדלה כהלכתה עם יין ביחד עם הקהילה, ומיד משם לנסוע לתערוכה (כדי לא לפספס את שעת הכניסה האחרונה)!
• מרווח ביטחון: הזמנו את הכרטיס לשעה 19:00. יש לך כעת שעה שלמה ויותר מרגע צאת השבת כדי להבדיל, להתארגן ולנסוע בנחת!
• מיצגי אור וחושך אינטראקטיביים מבוססי חיישנים. חוויה ויזואלית מרהיבה למוצאי שבת.

💡 Plan B גשם:
תערוכה מקורה ומוגנת.

💡 המלצת רכישה: חובה להזמין ב-Klook או Pelago! בסופי שבוע (מוצאי שבת) התורים ארוכים מאוד. 

[רמת עומס: 🔴 גבוה]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מוזיאון / אטרקציה",נסיעה ישירה מבית חב'ד קיוטו לתערוכה (תחבורה ציבורית או מונית GO Taxi).,קיוטו - מרכז/מזרח,19:00 - 21:00,שעתיים,,"85 ₪ (~4,600 ¥)","🚨 חובה להזמין מראש: ההרשמה נפתחת כחודשיים מראש (סביב 24/08/2026). חובה לשריין מקום עקב מגבלת קהל קשיחה בסופ""ש.
⏰ התראה: קבע/י תזכורת ליום פתיחת ההזמנות 24/08/2026 + תזכורת הכנה יום לפני (23/08/2026) — לוודא אמצעי תשלום, פרטים וזמינות.","רשמי: https://www.teamlab.art/e/kyoto/
Klook: https://www.klook.com/search/result/?query=teamLab%20Biovortex%20Kyoto
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=teamLab%20Biovortex%20Kyoto&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/teamLab%20Biovortex%20Kyoto
GetYourGuide: https://www.getyourguide.com/s?q=teamLab+Biovortex+Kyoto
Pelago: https://www.pelago.co/en-US/search/?keyword=teamLab%20Biovortex%20Kyoto",≈ 25 דקות מבית חב'ד,https://www.google.com/maps/dir/?api=1&origin=Chabad+Kyoto&destination=teamLab+Biovortex+Kyoto,,⚠️ שירותים,✓ שובר הזמנה זמין ל-19:00! | ✓ מצלמה / טלפון טעון | ✓ Power Bank וכבל

🌃,12 (שבת),24/10/2026,Gion & Shirakawa Lane,אטרקציה עירונית | רחובות היסטוריים,⭐⭐⭐⭐⭐ חובה,"Gion-Shijo Station, Kyoto, Japan",🌃 לילה,"סיום הערב באזור גיון:

• לאחר סיום התערוכה ב-teamLab, נסיעה מהירה משם להליכה פסטורלית וקסומה בסמטת שירקאווה המוארת לאורך התעלה.
• המשך שיטוט רגלי תוסס ברחובותיה המוארים של קיוטו וגיון. ההוסטל שלך נמצא ממש פה כך שתוכל לסיים את היום ברוגע.

[רמת עומס: 🟢 קל].

💡 Plan B: אם עמוס/סגור — מעבר לאטרקציה מקורה סמוכה או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: אטרקציה / חיי לילה",נסיעה מ-teamLab חזרה לאזור גיון והמשך הליכה רגלית.,קיוטו - גיון,21:30 - 22:45,שעה ורבע,,חינם,🚶‍♂️ אין צורך להזמין מראש.,https://www.japan-guide.com/e/e3902.html,≈ 15 דקות נסיעה מ-teamLab,https://www.google.com/maps/dir/?api=1&origin=teamLab+Biovortex+Kyoto&destination=Shirakawa+Lane,,⚠️ שירותים,✓ טלפון וארנק | ✓ מצלמה ללילה

